sale_id,product_id,quantity_sold,sale_date,name,category,shelf_life_days,current_stock,rolling_avg_7d,rolling_avg_14d,rolling_std_7d,weekly_total,day_of_week,days_until_stockout
1,1,54,2024-01-01,Bananas,Perishable,5,346,54.0,54.0,0.0,54,0,6.4
2,1,33,2024-01-02,Bananas,Perishable,5,313,43.5,43.5,14.85,87,1,7.2
3,1,48,2024-01-03,Bananas,Perishable,5,265,45.0,45.0,10.82,135,2,5.9
4,1,51,2024-01-04,Bananas,Perishable,5,214,46.5,46.5,9.33,186,3,4.6
5,1,44,2024-01-05,Bananas,Perishable,5,400,46.0,46.0,8.15,230,4,8.7
6,1,54,2024-01-06,Bananas,Perishable,5,346,47.33,47.33,7.99,284,5,7.3
7,1,39,2024-01-07,Bananas,Perishable,5,307,46.14,46.14,7.95,323,6,6.7
8,1,39,2024-01-08,Bananas,Perishable,5,268,44.0,45.25,7.48,308,0,6.1
9,1,40,2024-01-09,Bananas,Perishable,5,228,45.0,44.67,6.11,315,1,5.1
10,1,0,2024-01-10,Bananas,Perishable,5,228,38.14,40.2,17.85,267,2,6.0
11,1,37,2024-01-11,Bananas,Perishable,5,400,36.14,39.91,16.93,253,3,11.1
12,1,48,2024-01-12,Bananas,Perishable,5,352,36.71,40.58,17.3,257,4,9.6
13,1,55,2024-01-13,Bananas,Perishable,5,297,36.86,41.69,17.47,258,5,8.1
14,1,43,2024-01-14,Bananas,Perishable,5,254,37.43,41.79,17.61,262,6,6.8
15,1,40,2024-01-15,Bananas,Perishable,5,214,37.57,40.79,17.63,263,0,5.7
16,1,42,2024-01-16,Bananas,Perishable,5,400,37.86,41.43,17.7,265,1,10.6
17,1,34,2024-01-17,Bananas,Perishable,5,366,42.71,40.43,7.02,299,2,8.6
18,1,42,2024-01-18,Bananas,Perishable,5,324,43.43,39.79,6.58,304,3,7.5
19,1,49,2024-01-19,Bananas,Perishable,5,275,43.57,40.14,6.7,305,4,6.3
20,1,47,2024-01-20,Bananas,Perishable,5,228,42.43,39.64,4.86,297,5,5.4
21,1,41,2024-01-21,Bananas,Perishable,5,400,42.14,39.79,4.88,295,6,9.5
22,1,44,2024-01-22,Bananas,Perishable,5,356,42.71,40.14,4.82,299,0,8.3
23,1,29,2024-01-23,Bananas,Perishable,5,327,40.86,39.36,7.1,286,1,8.0
24,1,48,2024-01-24,Bananas,Perishable,5,279,42.86,42.79,6.82,300,2,6.5
25,1,31,2024-01-25,Bananas,Perishable,5,248,41.29,42.36,8.18,289,3,6.0
26,1,57,2024-01-26,Bananas,Perishable,5,400,42.43,43.0,9.83,297,4,9.4
27,1,55,2024-01-27,Bananas,Perishable,5,345,43.57,43.0,10.86,305,5,7.9
28,1,54,2024-01-28,Bananas,Perishable,5,291,45.43,43.79,11.44,318,6,6.4
29,1,40,2024-01-29,Bananas,Perishable,5,251,44.86,43.79,11.63,314,0,5.6
30,1,36,2024-01-30,Bananas,Perishable,5,215,45.86,43.36,10.25,321,1,4.7
31,1,35,2024-01-31,Bananas,Perishable,5,400,44.0,43.43,10.95,308,2,9.1
32,1,38,2024-02-01,Bananas,Perishable,5,362,45.0,43.14,9.83,315,3,8.0
33,1,59,2024-02-02,Bananas,Perishable,5,303,45.29,43.86,10.26,317,4,6.7
34,1,63,2024-02-03,Bananas,Perishable,5,240,46.43,45.0,11.84,325,5,5.2
35,1,49,2024-02-04,Bananas,Perishable,5,400,45.71,45.57,11.46,320,6,8.8
36,1,36,2024-02-05,Bananas,Perishable,5,364,45.14,45.0,11.88,316,0,8.1
37,1,39,2024-02-06,Bananas,Perishable,5,325,45.57,45.71,11.54,319,1,7.1
38,1,38,2024-02-07,Bananas,Perishable,5,287,46.0,45.0,11.14,322,2,6.2
39,1,41,2024-02-08,Bananas,Perishable,5,246,46.43,45.71,10.83,325,3,5.3
40,1,52,2024-02-09,Bananas,Perishable,5,400,45.43,45.36,9.74,318,4,8.8
41,1,50,2024-02-10,Bananas,Perishable,5,350,43.57,45.0,6.55,305,5,8.0
42,1,43,2024-02-11,Bananas,Perishable,5,307,42.71,44.21,6.1,299,6,7.2
43,1,40,2024-02-12,Bananas,Perishable,5,267,43.29,44.21,5.53,303,0,6.2
44,1,50,2024-02-13,Bananas,Perishable,5,217,44.86,45.21,5.67,314,1,4.8
45,1,35,2024-02-14,Bananas,Perishable,5,400,44.43,45.21,6.35,311,2,9.0
46,1,38,2024-02-15,Bananas,Perishable,5,362,44.0,45.21,6.71,308,3,8.2
47,1,55,2024-02-16,Bananas,Perishable,5,307,44.43,44.93,7.37,311,4,6.9
48,1,44,2024-02-17,Bananas,Perishable,5,263,43.57,43.57,6.95,305,5,6.0
49,1,41,2024-02-18,Bananas,Perishable,5,222,43.29,43.0,7.02,303,6,5.1
50,1,43,2024-02-19,Bananas,Perishable,5,400,43.71,43.5,6.87,306,0,9.2
51,1,34,2024-02-20,Bananas,Perishable,5,366,41.43,43.14,7.09,290,1,8.8
52,1,44,2024-02-21,Bananas,Perishable,5,322,42.71,43.57,6.52,299,2,7.5
53,1,36,2024-02-22,Bananas,Perishable,5,286,42.43,43.21,6.8,297,3,6.7
54,1,47,2024-02-23,Bananas,Perishable,5,239,41.29,42.86,4.68,289,4,5.8
55,1,57,2024-02-24,Bananas,Perishable,5,400,43.14,43.36,7.6,302,5,9.3
56,1,59,2024-02-25,Bananas,Perishable,5,341,45.71,44.5,9.55,320,6,7.5
57,1,37,2024-02-26,Bananas,Perishable,5,304,44.86,44.29,10.09,314,0,6.8
58,1,49,2024-02-27,Bananas,Perishable,5,255,47.0,44.21,8.93,329,1,5.4
